"platform_name","total_revenue"
"Miller and Sons Music 6369","208695.21"
"Delgado Ltd Music 7607","207735.51"
"Hernandez-Camacho Music 1732","207611.95"
"Zuniga Inc Music 6724","207603.48"
"Love and Sons Music 3501","207454.23"
"Moss-Green Music 7427","207301.85"
"Young-Jimenez Music 6686","207185.39"
"Myers Group Music 7751","206805.47"
"Hall-Salazar Music 4162","206476.36"
"Nelson PLC Music 3860","206439.84"
"Hunt-Pham Music 5425","206194.19"
"Oconnor PLC Music 9365","205825.26"
"Lucas, Miller and Hayes Music 2565","205637.56"
"Kaufman, Dixon and Haley Music 3607","205448.34"
"Yang-Banks Music 1753","205272.29"
"Bender PLC Music 6608","205261.89"
"Reilly Inc Music 3674","205061.36"
"Macias-Bryant Music 9193","204450.47"
"Munoz, Williams and Franklin Music 8273","204256.03"
"Woods Ltd Music 2819","203838.58"
"Farrell Inc Music 1014","203517.34"
"Hendricks-Thompson Music 3473","203229.59"
"Martin-Ryan Music 3432","203033.52"
"Mcclure-Hatfield Music 5797","203010.04"
"Douglas, Francis and Henry Music 5469","201572.63"
"Gutierrez-Hicks Music 8289","201404.23"
"Hernandez LLC Music 1068","201381.53"
"Turner and Sons Music 8472","201368.31"
"Lynch Inc Music 1598","201108.94"
"Mora-Gomez Music 2269","200948.27"
"Taylor, Young and Gregory Music 2116","200736.69"
"Schultz, Rodriguez and Brown Music 6091","200600.69"
"Lane, Schneider and Smith Music 7950","200582.54"
"Baker, Mendoza and Martin Music 3420","200551.64"
"Simmons and Sons Music 1584","200523.44"
"Fox, Gonzales and Rojas Music 9629","200235.18"
"Reynolds LLC Music 3068","200190.98"
"Davidson-Diaz Music 5177","200181.80"
"Branch-Green Music 6047","200112.81"
"Dawson, Mason and Grant Music 6957","199855.77"
"Gaines, Martin and Wise Music 1970","199755.61"
"Booth-Brown Music 1551","199240.24"
"Lee and Sons Music 5851","199083.83"
"Macdonald, Young and Webb Music 3282","199035.31"
"Baird PLC Music 3173","199007.28"
"Murray, Villanueva and Gomez Music 5834","199005.46"
"Martinez, Newman and Gonzalez Music 7451","198950.16"
"Silva, Freeman and Young Music 8410","198943.33"
"Potter Ltd Music 9082","198937.68"
"Black-Simmons Music 7729","198679.22"
"Kelly-Harper Music 2515","198310.77"
"Powell-Herrera Music 8489","197887.41"
"Valenzuela-Arroyo Music 8884","197843.89"
"Carter Inc Music 5181","197455.42"
"Weeks-Hall Music 9449","197354.44"
"Warner, Zimmerman and Harris Music 6792","197340.47"
"Jackson, Wilson and Riley Music 6818","196837.55"
"Reyes, Soto and Dunlap Music 2048","196834.12"
"Holmes Inc Music 6730","196753.73"
"Phillips Inc Music 6290","196712.57"
"Woodward, Scott and Randall Music 6599","196593.67"
"Robertson, Ferguson and Jordan Music 3961","196528.88"
"Webb-Michael Music 6127","196183.17"
"Rowe LLC Music 2384","196083.99"
"King, Johnston and Martinez Music 8961","195392.81"
"Alexander Inc Music 3354","195319.79"
"Murphy-Thompson Music 7616","195009.17"
"Yang, Wilson and Hansen Music 4864","194955.31"
"Powers, Morales and Schultz Music 8415","194621.06"
"Bender Group Music 2088","194575.19"
"Miller Group Music 2944","194371.23"
"Hicks LLC Music 3345","194340.75"
"Miller-Graham Music 1337","194224.88"
"Arnold-Robinson Music 7997","193759.27"
"Russell-Perkins Music 3006","193642.93"
"Price, Coleman and Diaz Music 8310","193312.09"
"Hines, Colon and Watkins Music 9933","192944.75"
"Kaiser LLC Music 5408","192733.77"
"Ryan-Stewart Music 4585","192681.48"
"Williams, Howard and Taylor Music 7737","192533.84"
"Rodriguez-Johnson Music 6411","192398.81"
"Lopez, Evans and Nguyen Music 7792","192379.28"
"Stewart-Taylor Music 4110","192272.02"
"Hall-Turner Music 8274","192215.47"
"Price, Stone and Strong Music 7986","192076.94"
"Downs Ltd Music 6775","191869.35"
"Chandler Inc Music 8111","191781.91"
"Luna Ltd Music 9493","191727.56"
"Escobar and Sons Music 4800","191719.34"
"Walker-Norman Music 2174","191622.50"
"Le Inc Music 9353","191162.58"
"Owens LLC Music 7382","191043.37"
"Hernandez, Kelley and Anderson Music 8100","191025.80"
"Dixon-Roth Music 4598","191002.88"
"Clark LLC Music 4918","190694.36"
"Todd-Matthews Music 6841","190427.68"
"Vargas-Middleton Music 8130","189324.40"
"Lynch Ltd Music 3473","189279.71"
"Martin, Young and Hays Music 2297","188895.49"
"Adams-Wang Music 4164","188813.58"
"Ramirez and Sons Music 5828","188478.66"
"Brown Group Music 5102","188440.80"
"Peters-Mccarthy Music 7171","188022.39"
"Lewis, Smith and Washington Music 3904","187952.87"
"Tyler Ltd Music 2153","187835.88"
"Lee Group Music 2542","187666.09"
"Henderson-Petersen Music 2065","187466.13"
"King and Sons Music 9397","187385.23"
"Castillo-Walker Music 4399","186076.32"
"Mitchell-Ibarra Music 7290","186042.22"
"Brown Ltd Music 9667","185950.47"
"Decker, Vasquez and Stevens Music 3578","185761.99"
"Pham PLC Music 2429","185582.03"
"Shaw Inc Music 1908","185512.92"
"Bennett, York and Richardson Music 9146","185401.78"
"Hale PLC Music 5069","185195.94"
"Kennedy PLC Music 3532","185023.25"
"Lin-Rodgers Music 1488","184897.78"
"Dennis Group Music 4735","184815.51"
"Lee, Johnson and Kramer Music 5222","184657.88"
"Bean, Moreno and Peterson Music 4614","184495.28"
"Allen Ltd Music 7856","184418.53"
"Gonzalez-Hurley Music 5292","184262.09"
"Lawson-Lopez Music 8229","184206.32"
"Malone, Bailey and Hughes Music 1177","183557.45"
"Lowe, Hawkins and Meyers Music 7355","183487.81"
"Gomez, Cooper and Miller Music 3081","183289.86"
"Harrison and Sons Music 1544","183173.13"
"Davis-Figueroa Music 1993","182876.33"
"Edwards-Fletcher Music 4220","182501.26"
"Maldonado and Sons Music 4742","182394.77"
"Wallace, Glass and Smith Music 3073","182330.71"
"Jackson-Owens Music 4273","182280.43"
"Roman Inc Music 6594","182264.77"
"Decker, Barnett and Ashley Music 6683","182084.97"
"Reyes Group Music 4408","182071.79"
"Vasquez-Morales Music 1937","181928.91"
"Hardin-Griffith Music 9401","181844.18"
"Wilson-Jordan Music 8315","181299.63"
"Leblanc, Baker and Mitchell Music 6884","181242.15"
"Holland, Pratt and Brennan Music 5342","181112.64"
"Wilson-Bowen Music 1360","181018.34"
"Brown, Mullins and Cherry Music 8972","180974.04"
"White, Gonzalez and Gaines Music 1432","180766.27"
"Scott-Reed Music 1635","180541.02"
"Griffin LLC Music 4657","180521.05"
"Griffith, Phillips and Hall Music 3952","180239.19"
"Gonzalez, Ochoa and Mack Music 1646","180200.28"
"Delgado-Cummings Music 9017","179714.78"
"Roberts-Potter Music 4150","179579.75"
"Wise-Church Music 3602","179426.08"
"Kelly, Parks and Reed Music 5648","179346.71"
"Hayes, Scott and Johnson Music 9573","179342.20"
"Bolton, Kline and Stephenson Music 9054","179196.63"
"Gutierrez, Ingram and Harris Music 6873","179003.70"
"Wilkerson LLC Music 4504","178892.47"
"Rodgers, Mack and Hamilton Music 4638","178826.98"
"Ortega and Sons Music 7805","178788.06"
"Wagner-Baker Music 7930","178738.87"
"Roberts, Ramirez and Russo Music 3666","178450.35"
"Ballard-Meyers Music 5156","178311.47"
"Chan-Tanner Music 4253","178274.32"
"Castillo-Hernandez Music 8638","178253.51"
"Patterson-Stewart Music 9004","178203.16"
"Fisher, Caldwell and Smith Music 5092","177801.38"
"Rich LLC Music 5309","177490.85"
"Kelley, Strickland and Duke Music 5933","177485.41"
"Nelson and Sons Music 3637","177012.81"
"Sullivan and Sons Music 3552","176676.43"
"Harper, Hampton and Vega Music 4909","176577.32"
"Bruce LLC Music 2932","176289.76"
"Johnson Ltd Music 5349","175730.31"
"Young Inc Music 7599","175591.52"
"Anderson, Shaffer and Kelly Music 9890","175198.11"
"Scott LLC Music 7311","174606.47"
"Hopkins-Gutierrez Music 3184","174501.32"
"David Inc Music 5305","174495.41"
"Hunt Inc Music 6739","174101.06"
"Chase-Le Music 2626","173628.32"
"Gates Inc Music 2749","173545.24"
"Pitts-Griffin Music 6721","173439.79"
"Johnson-Krueger Music 3561","173277.41"
"Acosta-Kim Music 3327","173269.01"
"Martinez PLC Music 4481","173258.00"
"Hernandez, Castillo and Mcgee Music 9564","173159.23"
"Cruz PLC Music 9953","172635.83"
"Mcdaniel PLC Music 4641","172606.00"
"Vargas, Thomas and Martinez Music 7320","172151.22"
"Andrews, Carroll and Cruz Music 8520","172053.03"
"Martinez Ltd Music 4063","171492.65"
"Baker-Wood Music 6475","170981.87"
"Johnson, Barrera and Mccoy Music 6347","170889.16"
"Marshall Inc Music 2797","170822.60"
"Jones-Pearson Music 3908","170792.94"
"Reynolds Ltd Music 6924","170630.54"
"Johnson Group Music 9418","170536.30"
"Mcintosh Group Music 2254","170253.70"
"Thomas-Elliott Music 8307","170245.93"
"Johnson, Porter and Lam Music 6779","169828.08"
"Anderson-Klein Music 1574","169802.87"
"Smith, Lutz and Proctor Music 4732","169759.98"
"Lewis-Smith Music 3696","169622.36"
"Martin, Casey and Oneill Music 3676","169579.69"
"Jackson-Carlson Music 9301","169562.65"
"Velazquez LLC Music 5847","169477.81"
"Davies and Sons Music 8811","169370.39"
"Gomez-Juarez Music 1907","168942.03"
"Black-Hopkins Music 9242","168744.52"
"Howard, Hubbard and Waters Music 1165","168609.57"
"Garcia, Hill and Moore Music 7782","168243.60"
"Valenzuela, Patterson and Duncan Music 5266","168121.18"
"Wilson PLC Music 8251","168043.69"
"Taylor Ltd Music 6197","167812.43"
"Rodriguez PLC Music 7221","167763.12"
"Barnes-Moss Music 4875","167646.25"
"Johnston, Garcia and Johnson Music 4095","167592.74"
"Simpson-Thompson Music 8399","167564.88"
"Duran, Hatfield and Hughes Music 2259","167433.04"
"Arias-Knox Music 1768","166819.08"
"Perez, Leblanc and Smith Music 6481","166589.94"
"Fox-Price Music 8934","166572.63"
"Molina-Keller Music 3892","166488.18"
"Knapp PLC Music 8074","166478.00"
"Thompson-Tate Music 5889","166406.93"
"Cooper-Aguilar Music 2554","166377.06"
"Warren-Salas Music 2473","165997.73"
"Taylor-Blake Music 5484","165901.87"
"Johnson-Wright Music 5269","165886.05"
"Garcia-Elliott Music 9793","165807.44"
"Richards, Manning and Irwin Music 4560","165731.13"
"Fernandez, Jackson and Walton Music 8992","165725.65"
"Huang, Avery and Orozco Music 1169","165631.80"
"Reynolds and Sons Music 9809","165625.46"
"Smith-Lee Music 3625","165583.20"
"Nichols, Jones and Gardner Music 7817","165287.49"
"Lutz, Wright and Mack Music 1868","165097.68"
"Jackson-Reed Music 6145","165072.51"
"Vargas and Sons Music 1445","164892.44"
"Ellis and Sons Music 9140","164622.55"
"Dillon-Reed Music 5321","164317.32"
"Moyer-Warren Music 4148","164307.48"
"Mcconnell-Banks Music 5867","164295.95"
"Harris LLC Music 9461","164200.09"
"Joseph, Ramirez and Edwards Music 8719","164127.25"
"Collins Inc Music 2693","163809.16"
"Lawson, Ferguson and Hopkins Music 2806","163635.19"
"Davis PLC Music 4648","163564.99"
"Gray, Lopez and Alexander Music 9748","163548.80"
"Blair Group Music 7291","163458.07"
"Brown Ltd Music 6651","163455.42"
"Jimenez-Ray Music 5416","163387.59"
"Carpenter Group Music 2311","163345.86"
"Martinez, Steele and Mcfarland Music 9850","163122.04"
"Avery-Doyle Music 6715","162807.38"
"Jones, Gordon and Rangel Music 8371","162779.95"
"Sosa, Erickson and Walters Music 7519","162730.82"
"Garcia Group Music 1876","162640.82"
"Solis PLC Music 1293","162481.41"
"Chen Group Music 9507","162449.74"
"Hall, Morales and Rodriguez Music 1153","162209.42"
"Salazar-Thompson Music 6363","161717.90"
"Baker LLC Music 6560","161425.56"
"Taylor, Peterson and Weeks Music 8802","161262.52"
"Reid, Young and Sanders Music 2243","161062.34"
"Acevedo and Sons Music 8338","161043.08"
"Burke Ltd Music 3196","161019.74"
"Robertson PLC Music 7868","160981.56"
"Nicholson, Meyer and Kirk Music 7351","160907.53"
"Mitchell, Marsh and Vasquez Music 2250","160634.37"
"Marshall-Conway Music 4275","160415.37"
"Beck Ltd Music 6919","160187.52"
"Underwood-Kelly Music 2789","160169.96"
"Cooper Ltd Music 3725","160090.34"
"Lee-Kline Music 9142","159945.88"
"Gutierrez Group Music 7180","159818.30"
"Gibson LLC Music 6333","159616.79"
"Woods, Mendez and Anderson Music 6112","159131.90"
"Johnson-Taylor Music 9483","159123.70"
"Mccarthy-Brown Music 7968","158880.69"
"Long Inc Music 5928","158784.92"
"Barton-Briggs Music 5939","158762.84"
"Brown-Lewis Music 9119","158757.18"
"Burton and Sons Music 5752","158527.24"
"Edwards-Cooper Music 5287","158441.59"
"Blackwell-Hawkins Music 1882","158313.22"
"Cruz, Cantrell and Forbes Music 6271","157850.08"
"Williams-Wise Music 7602","157822.38"
"Black Inc Music 6305","157698.84"
"Murphy-Powell Music 8664","157444.22"
"Becker-Mendoza Music 8959","157313.36"
"Taylor LLC Music 4421","157308.75"
"Maynard-Stephens Music 6174","157219.91"
"Porter, Hernandez and Phillips Music 3100","157085.77"
"Cole-Boone Music 4453","157034.66"
"Harvey-Harvey Music 6318","156832.81"
"Boyle PLC Music 7866","156757.69"
"Wells PLC Music 8299","156684.78"
"Todd-Rosales Music 3013","156649.65"
"Evans-Jimenez Music 4773","156483.10"
"Chase, Hughes and Wu Music 5572","156340.33"
"Smith-Cooper Music 2549","156335.67"
"Ramirez-Rodgers Music 5795","156316.77"
"Williams, Sparks and Gibson Music 2647","156264.94"
"Lam-Blanchard Music 9106","156239.78"
"Mitchell LLC Music 3854","156229.87"
"Esparza, Moore and Campbell Music 7533","155907.91"
"Price-Beard Music 5351","155860.21"
"Cervantes Group Music 6954","155694.44"
"Pierce Ltd Music 8473","155692.11"
"Dennis Group Music 3695","155634.94"
"Jones, Thomas and Moore Music 9417","155491.75"
"Mitchell Inc Music 7993","155424.27"
"Miller-Perry Music 2060","155379.62"
"Hicks-Weber Music 8494","155375.04"
"Wong Inc Music 9577","155334.08"
"Villarreal, Jacobs and Serrano Music 9532","155208.65"
"Mills, Blackwell and Daugherty Music 1299","155048.00"
"Perez-Brown Music 3182","154885.20"
"Collins-Smith Music 4852","154852.12"
"Medina PLC Music 4984","154828.21"
"Patton, Cox and Mills Music 9793","154812.36"
"Kelly Group Music 2732","154760.88"
"White-Gibson Music 1810","154753.59"
"Lloyd-Conley Music 9682","154650.58"
"Hall-Clark Music 3313","154613.62"
"Rojas and Sons Music 4242","154558.29"
"Collins-Carey Music 7731","154530.32"
"Cox, Robles and Hobbs Music 8965","154277.24"
"Webb, Benitez and Shaffer Music 1789","154224.30"
"Kaiser-Pierce Music 2663","154199.47"
"Collins, Rangel and Miller Music 3777","153982.67"
"Taylor-Campbell Music 6845","153956.68"
"Smith PLC Music 9118","153520.02"
"Stewart, Velasquez and Myers Music 5557","153250.26"
"Richardson, Colon and Lynch Music 4401","153169.31"
"Phelps and Sons Music 5240","152970.77"
"Adams, Kim and Ochoa Music 1405","152887.50"
"Travis, Brown and Simmons Music 7827","152869.91"
"Haas, Abbott and Wagner Music 3540","152672.86"
"Parks Inc Music 9031","152539.39"
"Smith-Ross Music 5091","152411.12"
"Castillo PLC Music 1087","152406.56"
"Ray Inc Music 7669","152271.07"
"Reed and Sons Music 4501","152248.47"
"Walker-Miller Music 1117","152161.03"
"Lambert, Haynes and Duncan Music 1718","152082.98"
"Holt-Dominguez Music 8732","151848.46"
"Valenzuela PLC Music 6805","151807.43"
"Brown Inc Music 9900","151754.09"
"Gray-Castaneda Music 5127","151751.06"
"Peters, Hooper and Jackson Music 7117","151702.90"
"Dixon Group Music 6832","151485.76"
"Thompson-Harrell Music 5823","151405.52"
"Bell, Banks and Bell Music 9813","151396.26"
"Burton-Mcgee Music 6366","151098.83"
"Lynn-James Music 8888","151008.43"
"Hernandez Ltd Music 6644","150840.95"
"Leon-Stone Music 7390","150379.90"
"Jackson, Swanson and Romero Music 4004","150355.00"
"Hayes Inc Music 7380","150324.04"
"Nguyen-Cobb Music 7731","150108.05"
"Gray PLC Music 7050","150058.10"
"Johnson LLC Music 6387","150051.13"
"Williams-Moore Music 4930","150003.08"
"Reed-Jones Music 4432","149937.04"
"Zimmerman, Johnson and Hughes Music 4792","149759.74"
"Stokes, Russell and Wang Music 7289","149688.40"
"Santana-Zimmerman Music 5192","149608.98"
"Burns PLC Music 4107","149579.45"
"Mitchell-Jones Music 2522","149526.79"
"Martin Group Music 5571","149337.87"
"Beard LLC Music 9670","149228.59"
"Bean, Sharp and Dodson Music 2670","149193.86"
"Parker-Harris Music 7669","149118.53"
"Thompson and Sons Music 5509","149055.04"
"Jimenez-Contreras Music 9813","148886.94"
"Holland PLC Music 8852","148799.09"
"Brown Group Music 6200","148728.18"
"Reed-Clark Music 5406","148576.87"
"Watkins-Owens Music 6638","148270.51"
"Walton Inc Music 2773","148266.29"
"Estrada-Carr Music 3480","148208.39"
"Williams Inc Music 4771","147952.61"
"Jordan-Nunez Music 9175","147473.75"
"Diaz, Combs and Kerr Music 6480","147461.86"
"Martinez LLC Music 4425","147267.31"
"Nguyen, Robinson and Pineda Music 5617","147090.66"
"Flores, Greene and Hunt Music 5364","147060.90"
"Whitehead LLC Music 6432","146949.95"
"Andrews PLC Music 3884","146813.19"
"Underwood PLC Music 8632","146652.55"
"Ross and Sons Music 7417","146584.18"
"Ray, Cooper and Miller Music 2999","146327.36"
"Copeland-Mccall Music 5780","146314.53"
"Miles Ltd Music 8005","146249.38"
"Lopez, Nichols and Barber Music 9070","146135.27"
"Greene Group Music 4728","146059.36"
"Ramirez Inc Music 5043","145741.74"
"Page-Gordon Music 1188","145316.82"
"Barber-Jenkins Music 7367","145142.48"
"Harvey-Jones Music 1272","145139.86"
"Jenkins-French Music 3372","145034.45"
"Lopez-Moreno Music 6855","144941.18"
"Reed, Jacobs and Warren Music 1546","144925.88"
"Rose LLC Music 3037","144497.79"
"Charles LLC Music 1581","144379.99"
"Anderson PLC Music 4228","143979.54"
"Cook-Kelley Music 8809","143965.87"
"Pace Group Music 5507","143580.03"
"Mckenzie Inc Music 9786","143483.30"
"Woodard, Mcneil and Duran Music 4395","143449.28"
"Sparks PLC Music 3324","143411.51"
