"platform_name","avg_revenue_per_stream"
"Moss-Parks Music 3716","0.01451"
"Davidson-Diaz Music 5177","0.01451"
"Diaz, Medina and Bennett Music 4972","0.01451"
"Durham, Coleman and Davis Music 7325","0.01450"
"Robinson Group Music 1259","0.01449"
"Luna-Dixon Music 1227","0.01448"
"Shelton Ltd Music 4725","0.01448"
"Holt-Mendoza Music 6925","0.01448"
"Smith-Gardner Music 3743","0.01447"
"Holder-Sanders Music 2424","0.01447"
"Pruitt-Klein Music 3774","0.01447"
"Lynch Ltd Music 3473","0.01447"
"Holland PLC Music 8852","0.01447"
"Davenport-Abbott Music 5607","0.01447"
"Sanchez PLC Music 9766","0.01446"
"Le-Allison Music 6587","0.01445"
"Rowe LLC Music 2384","0.01444"
"Banks LLC Music 8440","0.01444"
"Gomez-Wagner Music 6565","0.01444"
"Young, Singleton and Randolph Music 8905","0.01443"
"Johnston, Cruz and Thompson Music 6377","0.01443"
"Kelley, Strickland and Duke Music 5933","0.01440"
"Cooper and Sons Music 1190","0.01440"
"Keller, Schneider and Rice Music 4345","0.01439"
"Nicholson, Meyer and Kirk Music 7351","0.01439"
"Parker-Stevens Music 6032","0.01437"
"Stanley and Sons Music 1501","0.01437"
"Jimenez-Ray Music 5416","0.01437"
"Wallace Inc Music 9716","0.01436"
"Rodgers, Mack and Hamilton Music 4638","0.01434"
"Ferguson-Jones Music 8757","0.01434"
"Barnett-Carter Music 7221","0.01433"
"Cooper, Williams and Walker Music 3869","0.01433"
"Smith, Lutz and Proctor Music 4732","0.01432"
"Collins, Rangel and Miller Music 3777","0.01431"
"Miller-Kent Music 9911","0.01429"
"Baker and Sons Music 7963","0.01429"
"Lee, Howard and Adams Music 4666","0.01429"
"Schwartz-Wood Music 6965","0.01429"
"Melton-Wood Music 8016","0.01428"
"Padilla, Scott and Wheeler Music 9188","0.01428"
"Nguyen-Berry Music 5810","0.01427"
"Lopez, Farrell and Franklin Music 4815","0.01427"
"Clements-Andrews Music 4652","0.01427"
"Jennings PLC Music 1591","0.01425"
"Ingram, Rubio and Turner Music 8647","0.01424"
"Williams-Kelley Music 2471","0.01421"
"Kelly, Todd and Miller Music 3733","0.01420"
"Garcia LLC Music 1101","0.01420"
"Underwood PLC Music 8632","0.01419"
"Pollard-Brady Music 8247","0.01419"
"Burnett, Edwards and Dickerson Music 1125","0.01418"
"Roberts, Ramirez and Russo Music 3666","0.01417"
"Stewart-Miller Music 7905","0.01417"
"Young, Ramirez and Mathis Music 4063","0.01417"
"Patrick, Blankenship and Taylor Music 7513","0.01416"
"Price, Stone and Strong Music 7986","0.01416"
"Duran Ltd Music 5612","0.01415"
"Richards PLC Music 1342","0.01415"
"Travis, Brown and Simmons Music 7827","0.01415"
"Webb-Michael Music 6127","0.01414"
"Jackson-Nelson Music 8074","0.01414"
"Bailey-Weber Music 7427","0.01414"
"Durham-Sparks Music 8605","0.01412"
"Thomas, Edwards and Owen Music 6716","0.01412"
"Kaufman, Dixon and Haley Music 3607","0.01411"
"Cunningham-Steele Music 5111","0.01410"
"Schmitt-Brady Music 6001","0.01410"
"Lewis, Mcdaniel and Salazar Music 8001","0.01408"
"Harper, Deleon and Ortiz Music 7828","0.01406"
"Campbell-Villarreal Music 4146","0.01404"
"Francis-Garza Music 4010","0.01404"
"Moore Group Music 1453","0.01404"
"Becker-Mendoza Music 8959","0.01404"
"Bennett-Nielsen Music 1659","0.01403"
"Nicholson, Martin and Robertson Music 4977","0.01402"
"Gutierrez, Suarez and Griffin Music 3357","0.01402"
"Gilbert, Reese and Fox Music 5038","0.01402"
"Hickman-Mills Music 9488","0.01401"
"Stewart-Williams Music 5656","0.01401"
"Harris, Nelson and Gibbs Music 3278","0.01399"
"Taylor, Gomez and Anderson Music 7839","0.01397"
"Stewart-Taylor Music 4110","0.01395"
"Smith, Olsen and Richards Music 9507","0.01393"
"Johnson PLC Music 8346","0.01392"
"Allen, Hogan and Dyer Music 7792","0.01392"
"Brown Ltd Music 9667","0.01392"
"Buchanan-Phillips Music 5366","0.01392"
"Rodriguez Ltd Music 6342","0.01390"
"Stanton Inc Music 4319","0.01390"
"Hicks, Warner and Vasquez Music 6053","0.01390"
"Hicks-Greene Music 9287","0.01390"
"Peters-Molina Music 6718","0.01389"
"Figueroa PLC Music 6213","0.01389"
"Roberts, Griffith and Perez Music 7093","0.01389"
"Thomas-Mann Music 5016","0.01388"
"Dodson LLC Music 1201","0.01388"
"Fernandez, Jackson and Walton Music 8992","0.01388"
"Howell Group Music 8901","0.01388"
"Rodriguez PLC Music 3468","0.01388"
"Underwood Ltd Music 8429","0.01387"
"Montgomery, Price and Campbell Music 2704","0.01387"
"Morris LLC Music 8405","0.01386"
"Gilbert, Becker and Steele Music 6231","0.01386"
"Martin, Moss and Martin Music 7776","0.01386"
"Bush and Sons Music 2647","0.01385"
"Alexander-Diaz Music 4659","0.01383"
"Martin Group Music 5054","0.01382"
"Martinez-Sullivan Music 8966","0.01381"
"Baker-Wood Music 6475","0.01380"
"Cunningham LLC Music 7799","0.01378"
"Wade Inc Music 9240","0.01377"
"Leon, Johnson and Mitchell Music 7436","0.01377"
"Rasmussen LLC Music 2638","0.01376"
"Thompson-Blake Music 9687","0.01376"
"Snyder, Hodges and York Music 2663","0.01375"
"Beard LLC Music 9670","0.01375"
"Johnson-Long Music 3547","0.01375"
"Smith, Weber and Adams Music 3368","0.01374"
"Hernandez-Stevenson Music 5200","0.01374"
"Harris Group Music 5856","0.01374"
"Hernandez LLC Music 1068","0.01372"
"Hall, Nicholson and Taylor Music 5515","0.01372"
"Greer-Gibbs Music 8654","0.01370"
"Peters, Cole and Copeland Music 5801","0.01370"
"Salas Group Music 9181","0.01369"
"Daniel-Barrett Music 1772","0.01369"
"Tyler-Galloway Music 8982","0.01368"
"Summers LLC Music 5860","0.01368"
"Robertson PLC Music 7868","0.01367"
"Crawford, Hall and Williams Music 1284","0.01366"
"Martinez PLC Music 2492","0.01365"
"Adams Inc Music 6312","0.01365"
"Reid, Taylor and Guzman Music 4612","0.01364"
"Gonzalez, Ochoa and Mack Music 1646","0.01364"
"Mclaughlin Ltd Music 6389","0.01364"
"Chandler LLC Music 3530","0.01364"
"Robertson, Joseph and Morales Music 7930","0.01363"
"Baker-Johnson Music 4233","0.01362"
"Johnson LLC Music 6387","0.01362"
"Sims Group Music 2945","0.01361"
"Beltran-Lucas Music 8228","0.01361"
"Powers, Davis and Charles Music 7594","0.01360"
"Grant, Nelson and Golden Music 9925","0.01360"
"Bonilla, Ortiz and Welch Music 2992","0.01360"
"Zhang, Castro and Miller Music 3032","0.01360"
"Carpenter LLC Music 4876","0.01360"
"Gutierrez, Pittman and Jensen Music 2625","0.01360"
"Thomas and Sons Music 5824","0.01359"
"Hall, Barnes and Simon Music 7714","0.01359"
"Newman PLC Music 3181","0.01358"
"Davis LLC Music 3870","0.01357"
"Mcpherson Inc Music 4578","0.01356"
"Lam-Blanchard Music 9106","0.01356"
"Dougherty Ltd Music 8589","0.01356"
"Jones Ltd Music 4018","0.01355"
"Meyer, Valdez and Garza Music 2690","0.01354"
"Lee Group Music 2542","0.01354"
"Carter-Walker Music 4698","0.01353"
"Oneal, Stokes and Cisneros Music 4215","0.01353"
"Figueroa-Aguirre Music 7988","0.01353"
"Jackson-Hicks Music 7009","0.01352"
"Crane, Perez and Chambers Music 8151","0.01350"
"Bender PLC Music 6608","0.01350"
"Zimmerman-Estes Music 5974","0.01349"
"Vasquez-Morales Music 1937","0.01349"
"Lozano-Morgan Music 7067","0.01348"
"Baker, Murphy and Smith Music 6774","0.01348"
"Smith, Turner and Buchanan Music 7986","0.01348"
"Orozco, Gomez and Branch Music 8507","0.01347"
"Villarreal, Jacobs and Serrano Music 9532","0.01345"
"Wells-Murphy Music 5034","0.01344"
"Brown-White Music 5202","0.01343"
"Tucker Ltd Music 7198","0.01343"
"Spence, Herring and Perez Music 3440","0.01343"
"Burns and Sons Music 7305","0.01342"
"Bailey, Cantu and Vincent Music 6594","0.01342"
"Ballard and Sons Music 2122","0.01341"
"Johnson-Wright Music 5269","0.01341"
"Gray-Henson Music 1652","0.01339"
"Ray, Cooper and Miller Music 2999","0.01339"
"Underwood-Kelly Music 2789","0.01338"
"Mitchell LLC Music 3854","0.01338"
"Shields, Barnes and Nicholson Music 3941","0.01338"
"Miller Group Music 2944","0.01338"
"Delgado-Manning Music 8090","0.01337"
"Adams-Wang Music 4164","0.01336"
"Richards, Manning and Irwin Music 4560","0.01336"
"Matthews-Krueger Music 3987","0.01336"
"Martinez, Newman and Gonzalez Music 7451","0.01335"
"Lamb Ltd Music 3211","0.01333"
"Donovan, Smith and Jones Music 1112","0.01333"
"Sullivan PLC Music 8539","0.01333"
"Pham PLC Music 2429","0.01332"
"Le Inc Music 9353","0.01331"
"Brown-Ortiz Music 6936","0.01331"
"Kelly, Wilkerson and Bowman Music 6901","0.01331"
"Russell-Blackwell Music 7522","0.01330"
"Harris, Petty and Marshall Music 1132","0.01330"
"Stephenson, Perry and Lewis Music 3466","0.01329"
"Baker Ltd Music 8995","0.01329"
"Murillo, Mosley and Thomas Music 6534","0.01328"
"Smith, Parks and Phillips Music 5071","0.01327"
"Waller, Giles and Hester Music 1899","0.01327"
"Ross Ltd Music 8577","0.01326"
"Warner-Mcintyre Music 5867","0.01325"
"Eaton-Kramer Music 3581","0.01325"
"Roberts, Williams and Bennett Music 5079","0.01325"
"Cooke-Lawrence Music 6859","0.01324"
"Knight, Wright and Beltran Music 1984","0.01323"
"Rogers, Martin and Cox Music 7901","0.01323"
"Johnson, Daniels and Little Music 1371","0.01323"
"Walters LLC Music 2063","0.01322"
"Johnson Inc Music 1855","0.01322"
"Rivas-Reese Music 6784","0.01322"
"Christensen, Foster and Lane Music 7833","0.01320"
"Vincent Inc Music 6015","0.01319"
"Gardner-Johnson Music 7818","0.01319"
"Collins-Smith Music 4852","0.01318"
"Barnes-Moss Music 4875","0.01318"
"Miller-Williams Music 1467","0.01318"
"Todd-Matthews Music 6841","0.01317"
"Murphy, Potter and Macias Music 2067","0.01317"
"Wagner-Baker Music 7930","0.01316"
"Long-Moody Music 8828","0.01316"
"Smith-Porter Music 5260","0.01315"
"Jensen, Yates and Walters Music 7722","0.01315"
"Acosta, Hernandez and Brown Music 2390","0.01315"
"Anderson, Reyes and Harper Music 2082","0.01315"
"Gilbert, Bautista and Anderson Music 6226","0.01314"
"Turner-Thompson Music 2204","0.01313"
"Velasquez Inc Music 5562","0.01313"
"Rice LLC Music 9246","0.01312"
"Young, Alvarez and Acosta Music 8823","0.01311"
"Humphrey Ltd Music 8900","0.01311"
"Brown-Kelly Music 7243","0.01311"
"Miller, Lester and Dawson Music 4947","0.01310"
"Cox, Mcguire and Stanley Music 2119","0.01310"
"Mullen, Davies and Daniel Music 4759","0.01309"
"Velazquez, Farmer and Dorsey Music 4684","0.01309"
"Decker, Barnett and Ashley Music 6683","0.01309"
"Montoya Ltd Music 7596","0.01309"
"Reid, Young and Sanders Music 2243","0.01308"
"Douglas-Dyer Music 9079","0.01307"
"Day-Moore Music 9855","0.01307"
"Phillips and Sons Music 7053","0.01307"
"Turner, Harris and Fields Music 4526","0.01306"
"Lane, Flynn and Scott Music 4364","0.01301"
"Sanchez-Jackson Music 1349","0.01300"
"Faulkner and Sons Music 8236","0.01299"
"Moore Group Music 8615","0.01299"
"Bowman, Ortiz and Wheeler Music 7581","0.01299"
"Edwards LLC Music 1777","0.01299"
"Taylor PLC Music 3421","0.01298"
"Buckley Ltd Music 1593","0.01298"
"Flynn, Simon and Mckinney Music 9787","0.01298"
"Campbell, Spears and Chen Music 2038","0.01298"
"Mccoy, Gonzales and Williams Music 1412","0.01298"
"Hale-Morrison Music 1302","0.01297"
"Johnson, Martinez and Barker Music 8633","0.01297"
"Santiago-Ball Music 7848","0.01297"
"Tyler-Hanna Music 8705","0.01296"
"Martinez PLC Music 4481","0.01294"
"Patton Group Music 9884","0.01293"
"Keller Ltd Music 3009","0.01293"
"Hernandez LLC Music 4425","0.01292"
"Richardson, Payne and Mullen Music 3560","0.01292"
"Powell-Herrera Music 8489","0.01292"
"Smith and Sons Music 1819","0.01292"
"Santana PLC Music 9951","0.01291"
"Hickman-Little Music 9906","0.01290"
"Parrish-Robinson Music 1281","0.01290"
"Larson Group Music 9720","0.01290"
"Evans-Jimenez Music 4773","0.01290"
"Bailey PLC Music 2370","0.01289"
"Taylor, Hardin and Figueroa Music 3284","0.01288"
"Chambers, Parks and Butler Music 3041","0.01288"
"Mccall, Ramirez and Zamora Music 3689","0.01288"
"Fox-Price Music 8934","0.01286"
"Roach-Crawford Music 5601","0.01286"
"Buchanan LLC Music 2346","0.01285"
"Miller and Sons Music 6369","0.01285"
"Singleton, Richards and Page Music 7114","0.01285"
"Jones, York and Guzman Music 7843","0.01285"
"Huang, Avery and Orozco Music 1169","0.01284"
"Gonzalez-Atkinson Music 1265","0.01284"
"Smith-Richardson Music 2813","0.01283"
"Bradford-Brown Music 8253","0.01283"
"Richardson-Santos Music 9231","0.01283"
"Jones PLC Music 9086","0.01283"
"Patton, Lambert and Ferrell Music 4900","0.01283"
"Johnson Group Music 9418","0.01282"
"Bullock-Rogers Music 4034","0.01282"
"Lowe, Hawkins and Meyers Music 7355","0.01281"
"Jones-Jackson Music 5398","0.01279"
"Graham, Mays and Hughes Music 8262","0.01279"
"Johnson-Martin Music 1652","0.01279"
"Robinson-Martin Music 6616","0.01279"
"Mendez-Webb Music 6124","0.01279"
"Miranda-Jackson Music 4047","0.01278"
"Coleman-Kelley Music 2005","0.01277"
"Pena, Acosta and Espinoza Music 2318","0.01277"
"Smith, Gates and Harvey Music 9931","0.01277"
"Parker-Harris Music 7669","0.01276"
"Ellison PLC Music 2779","0.01276"
"Larsen PLC Music 8275","0.01273"
"Miller-Mejia Music 8889","0.01270"
"Callahan Ltd Music 5731","0.01269"
"Price-Scott Music 7250","0.01269"
"Lee-Peterson Music 9018","0.01268"
"Mcintosh Group Music 2254","0.01267"
"Scott-Hunt Music 1712","0.01267"
"Lewis, Simpson and Lester Music 1486","0.01266"
"Marshall PLC Music 5504","0.01264"
"Taylor LLC Music 4421","0.01263"
"Ferguson-Mcdonald Music 6011","0.01263"
"Andrews, Brown and Sullivan Music 2027","0.01263"
"Cannon-Hughes Music 5156","0.01263"
"Wilson Ltd Music 5840","0.01262"
"White, Burton and Wolfe Music 6165","0.01262"
"Banks and Sons Music 4400","0.01262"
"Mason, Rush and Hansen Music 9571","0.01261"
"Diaz, Martinez and Miller Music 7123","0.01261"
"Singh, Reyes and Bennett Music 2166","0.01260"
"Valencia Ltd Music 3211","0.01260"
"Blake Inc Music 3723","0.01260"
"Whitaker-Harris Music 5942","0.01259"
"Medina and Sons Music 3985","0.01259"
"Allen Ltd Music 8715","0.01259"
"Williams, Gross and Walter Music 1587","0.01259"
"Vargas and Sons Music 1445","0.01258"
"Clark-Robertson Music 9156","0.01257"
"Taylor, Young and Gregory Music 2116","0.01255"
"Robinson, Young and Mcmahon Music 7405","0.01255"
"Garcia, Smith and Munoz Music 6042","0.01254"
"Leon-Stone Music 7390","0.01253"
"Scott, Nelson and Smith Music 4259","0.01253"
"Walker-Salazar Music 6964","0.01253"
"Hall, Taylor and Morgan Music 8376","0.01253"
"Stanley Inc Music 7754","0.01252"
"Smith-Bennett Music 5662","0.01252"
"Williams-Torres Music 9617","0.01251"
"Lewis-Cummings Music 6414","0.01251"
"Owen-Johnson Music 2405","0.01251"
"Bradley, Banks and Brady Music 9411","0.01250"
"Grant, Benson and Fletcher Music 7470","0.01249"
"Johnson, Thomas and Shaffer Music 2851","0.01249"
"Collins-Cunningham Music 1056","0.01249"
"Harris PLC Music 4688","0.01249"
"Horton LLC Music 8738","0.01247"
"Lewis-Bell Music 6009","0.01246"
"Anderson PLC Music 9090","0.01246"
"Marquez, Morrison and Harris Music 4924","0.01244"
"Mercado-Martin Music 8265","0.01243"
"Fox, Gonzales and Rojas Music 9629","0.01242"
"Thompson and Sons Music 5509","0.01241"
"Stafford-Cruz Music 3950","0.01241"
"Robinson-King Music 3615","0.01241"
"Mitchell, Hanson and Hood Music 2706","0.01241"
"Fowler, Reese and Hill Music 8146","0.01239"
"Tucker LLC Music 1410","0.01239"
"Whitehead-Sandoval Music 1810","0.01238"
"Jackson and Sons Music 2725","0.01237"
"Chavez, Banks and Robinson Music 5148","0.01236"
"Miller PLC Music 8384","0.01235"
"Murphy, Daniels and Padilla Music 3258","0.01235"
"Wells PLC Music 8299","0.01234"
"Miranda-Ruiz Music 9487","0.01234"
"Griffin Ltd Music 2537","0.01233"
"Anderson-Schultz Music 6803","0.01232"
"Poole LLC Music 4284","0.01232"
"Brewer PLC Music 1809","0.01231"
"Williams, Sparks and Gibson Music 2647","0.01231"
"Robertson-Chen Music 6706","0.01231"
"Clark-Fletcher Music 9177","0.01231"
"Rose LLC Music 3037","0.01230"
"Landry Inc Music 6042","0.01230"
"Rodriguez PLC Music 7221","0.01230"
"Rogers-Rose Music 9193","0.01230"
"Johnson-Bell Music 4144","0.01229"
"Bradshaw PLC Music 8108","0.01229"
"Gonzalez-Wagner Music 9058","0.01227"
"Young, Holland and Mendez Music 2960","0.01226"
"Young-Roach Music 1279","0.01225"
"Moran-Stein Music 7168","0.01225"
"Stone, Sandoval and Hughes Music 7827","0.01225"
"Brown LLC Music 9661","0.01224"
"Thomas and Sons Music 8579","0.01224"
"Ramirez Ltd Music 6894","0.01223"
"Moore-Lawson Music 2507","0.01222"
"Poole-Martinez Music 9327","0.01222"
"Schwartz, Gonzales and Perez Music 8470","0.01222"
"Velazquez and Sons Music 6741","0.01221"
"Wise-Church Music 3602","0.01221"
"Smith-Cooper Music 2549","0.01220"
"Smith Inc Music 2226","0.01220"
"Johnson, Higgins and Roberts Music 2662","0.01219"
"Ross-Cooley Music 3094","0.01218"
"Dean Ltd Music 8872","0.01217"
"Baker-Young Music 9550","0.01217"
"Mitchell-Ibarra Music 7290","0.01215"
"Williams Group Music 3389","0.01215"
"Soto and Sons Music 9439","0.01213"
"Wolf, Morris and Ruiz Music 8742","0.01212"
"Mckenzie, Rodriguez and Hernandez Music 4174","0.01212"
"Armstrong-Rodriguez Music 2745","0.01211"
"Pena-Scott Music 1450","0.01210"
"Wilson-Summers Music 3659","0.01209"
"Hopkins-Gutierrez Music 3184","0.01209"
"Frost, Robinson and Sanchez Music 9128","0.01209"
"Anderson-Hamilton Music 8638","0.01208"
"Patterson Group Music 8297","0.01207"
"Erickson, Williamson and Maldonado Music 5098","0.01206"
"Wilson-Salas Music 3643","0.01206"
"Chase, Lamb and Johnson Music 2106","0.01205"
"Caldwell Group Music 5562","0.01205"
"Rich LLC Music 5309","0.01205"
"Allen-Kaiser Music 1248","0.01204"
"Lawrence-Dean Music 4019","0.01203"
"Valdez-Roberts Music 5352","0.01203"
"Figueroa Ltd Music 2108","0.01203"
"Ramirez Inc Music 8730","0.01203"
"Green, Hoover and Brewer Music 4421","0.01203"
"Bass-Li Music 8117","0.01202"
"Alexander Inc Music 3354","0.01202"
"Rogers, Black and Charles Music 5893","0.01201"
"Cox-Barry Music 5380","0.01201"
"Williams-Doyle Music 8459","0.01200"
"Gutierrez Group Music 7180","0.01199"
"Barber-Manning Music 4741","0.01199"
"Harper Group Music 2276","0.01198"
"Mora-Myers Music 7944","0.01197"
"Gray, Hooper and Hubbard Music 2878","0.01196"
"Nichols Ltd Music 8136","0.01195"
"Hall-Clark Music 3313","0.01195"
"Woods Ltd Music 7758","0.01195"
"Munoz and Sons Music 8266","0.01195"
"Hernandez-James Music 4994","0.01194"
"Tyler Ltd Music 2153","0.01193"
"Hebert, Ford and Hays Music 2115","0.01193"
"Munoz, Williams and Franklin Music 8273","0.01192"
"Parker-Byrd Music 5408","0.01192"
"Schwartz and Sons Music 9167","0.01191"
"Smith, Moreno and Bullock Music 5920","0.01191"
"Davies and Sons Music 8811","0.01190"
"Lane, Schneider and Smith Music 7950","0.01190"
"Yu PLC Music 2096","0.01190"
"Bell PLC Music 5379","0.01189"
"Robinson PLC Music 1237","0.01189"
"Ray Inc Music 7669","0.01186"
"Salinas, Yates and Pierce Music 9271","0.01185"
"Mccarthy PLC Music 6675","0.01184"
"Hall-Salazar Music 4162","0.01184"
"Robinson, Williams and Brown Music 5406","0.01184"
"Davidson, Manning and Blackburn Music 1603","0.01183"
"Mann Ltd Music 1715","0.01183"
"Stephenson-Perez Music 4809","0.01183"
"Murphy, Walsh and Smith Music 1891","0.01182"
"Ray Ltd Music 9260","0.01182"
"Petersen, Caldwell and Gomez Music 1417","0.01182"
"Smith-Reynolds Music 8958","0.01182"
"Golden, Alexander and Faulkner Music 1321","0.01181"
"Thompson-Smith Music 5271","0.01181"
"Hill PLC Music 7586","0.01181"
"Williams, Santiago and Hopkins Music 1029","0.01180"
"Bernard-Morrison Music 7667","0.01180"
"Schmidt-Owens Music 2379","0.01179"
"Bryant-Delgado Music 7157","0.01179"
"Bautista, Robinson and Bryant Music 2372","0.01179"
"Bush, Morales and Ramos Music 7571","0.01178"
"Swanson-Martin Music 9401","0.01178"
"Rodriguez Group Music 5360","0.01176"
"Thompson-Tate Music 5889","0.01175"
"Zimmerman, Johnson and Hughes Music 4792","0.01175"
"Mcdaniel PLC Music 4641","0.01175"
"Lynn-James Music 8888","0.01174"
"Adams and Sons Music 9136","0.01173"
"Reed, Hall and Warren Music 6174","0.01173"
"Wade-Mckinney Music 3643","0.01172"
"Harrison and Sons Music 1544","0.01171"
"Butler-Brown Music 4376","0.01170"
"Osborn, Smith and Banks Music 9967","0.01169"
"Curtis, Cochran and Moss Music 4994","0.01168"
"Blankenship PLC Music 2424","0.01167"
"May Group Music 6676","0.01166"
"Miller, Watkins and Young Music 6447","0.01166"
"Lewis Group Music 9552","0.01166"
"Wyatt, Green and Chung Music 6503","0.01166"
"Davenport PLC Music 5324","0.01165"
"Glover-Smith Music 2847","0.01164"
"Spencer, Newton and Thompson Music 1760","0.01164"
"Velazquez LLC Music 5847","0.01163"
"Morgan-Flores Music 5487","0.01163"
"Bass-Benton Music 8320","0.01163"
"Reynolds, Powell and Simon Music 9421","0.01162"
"Leblanc-Bridges Music 5073","0.01162"
"Randolph and Sons Music 8476","0.01162"
"Cisneros, Griffith and Clayton Music 9665","0.01161"
"Castillo-Roberson Music 9087","0.01160"
"Schwartz-Reyes Music 1281","0.01159"
"Carroll Inc Music 2360","0.01159"
"Lewis-Perkins Music 3894","0.01159"
"Washington-Miller Music 7547","0.01159"
"Smith-Gillespie Music 2600","0.01158"
"Lawson Group Music 8459","0.01158"
"Moore, Boyd and Flores Music 4239","0.01156"
"Cantrell, Collins and Chase Music 5653","0.01156"
"Young LLC Music 5557","0.01155"
"Lee Inc Music 4808","0.01154"
"Larson, Alexander and Smith Music 8297","0.01153"
"Villarreal, Robinson and Webb Music 8503","0.01152"
"Gould, Brown and Austin Music 2453","0.01152"
"Watts and Sons Music 9066","0.01151"
"Nguyen and Sons Music 2997","0.01150"
"Rhodes PLC Music 5921","0.01149"
"Smith-Hoffman Music 3636","0.01149"
"Jackson, Schultz and Reid Music 1865","0.01148"
"Lucas, Bryant and White Music 3179","0.01148"
"Campbell-Williams Music 2956","0.01148"
"Shaw, Berry and Diaz Music 3068","0.01147"
"Reed, Moody and Baxter Music 8002","0.01147"
"Nichols, James and Williams Music 2038","0.01147"
"Todd-Rosales Music 3013","0.01146"
"Robbins Group Music 8773","0.01146"
"James-Christensen Music 7984","0.01146"
"Tucker, Pearson and Perez Music 5306","0.01145"
"Lewis, Perkins and Mcgee Music 2160","0.01143"
"Lane, Irwin and Freeman Music 9307","0.01143"
"King and Sons Music 9397","0.01143"
"Garcia, Hill and Moore Music 7782","0.01143"
"Rodriguez-Johnson Music 6411","0.01142"
"Garza-Cordova Music 7432","0.01142"
"Glenn Ltd Music 6076","0.01142"
"Benton, Waters and Robinson Music 6700","0.01142"
"Cummings-Weaver Music 8042","0.01140"
"Chaney, Rose and West Music 1567","0.01140"
"Davis-Reynolds Music 3235","0.01139"
"Bowen, Hines and Bradford Music 8148","0.01139"
"Jones Ltd Music 6714","0.01138"
"Henry, Brown and Pope Music 7211","0.01138"
"Thompson-Harrell Music 5823","0.01138"
"Williams-Vance Music 9061","0.01138"
"Stewart, Simmons and Salinas Music 3855","0.01137"
